phase,implementation,storage_format,N=100,"N=1,000","N=100,000","N=1,000,000"
1_csv_baseline,numpy_vectorised,csv_per_stock,1242.39,11797.46,154373.64,173593.03
1_csv_baseline,numpy_vectorised,csv_wide,7732.76,66507.05,173893.99,178390.9
1_csv_baseline,pandas_baseline,csv_per_stock,1430.45,11669.56,,
2_storage_opt,fortran_openmp,parquet_wide_uncompressed,20517.03,160694.2,779028.55,828034.6
2_storage_opt,go_goroutines,parquet_wide_uncompressed,20772.75,118287.2,323931.75,344630.08
2_storage_opt,java_vector_api,parquet_wide_uncompressed,19584.8,117481.2,460763.67,476252.84
2_storage_opt,julia_loopvec,parquet_wide_uncompressed,23250.41,199680.51,707408.69,745474.78
2_storage_opt,numpy_vectorised,arrow_ipc,16266.78,,,
2_storage_opt,numpy_vectorised,parquet_per_stock,1389.6,13532.17,166720.57,176590.96
2_storage_opt,numpy_vectorised,parquet_wide_snappy,9737.1,56123.02,175895.0,175987.77
2_storage_opt,numpy_vectorised,parquet_wide_uncompressed,20193.86,48904.54,174485.96,176456.35
2_storage_opt,numpy_vectorised,parquet_wide_zstd,5480.35,48550.76,174981.19,176506.52
3_compute_opt,cpp_openmp,parquet_wide_uncompressed,22036.14,157703.83,941610.72,869603.03
3_compute_opt,duckdb_sql,parquet_wide_uncompressed,883.67,1117.77,11518.0,
3_compute_opt,numba_parallel,parquet_wide_uncompressed,22341.38,193836.01,846224.15,909480.33
3_compute_opt,numpy_float32,parquet_wide_uncompressed,,49408.34,,
3_compute_opt,polars_engine,parquet_wide_uncompressed,1942.8,19622.46,105926.82,86015.62
3_compute_opt,rust_faer,parquet_wide_uncompressed,,162548.76,,
3_compute_opt,rust_rayon,parquet_wide_uncompressed,14039.03,94813.69,452169.51,479590.54
3_compute_opt,rust_rayon_nightly,parquet_wide_uncompressed,10045.2,79993.6,655303.7,654643.48
4_distributed,dask_local,parquet_wide_uncompressed,,7981.36,,
